Model	Transcription factor
FOXG1_HUMAN.H11MO.0.D	HUMAN:FOXG1
FOXH1_HUMAN.H11MO.0.A	HUMAN:FOXH1
FOXI1_HUMAN.H11MO.0.B	HUMAN:FOXI1
FOXJ2_HUMAN.H11MO.0.C	HUMAN:FOXJ2
FOXJ3_HUMAN.H11MO.0.A	HUMAN:FOXJ3
FOXJ3_HUMAN.H11MO.1.B	HUMAN:FOXJ3
FOXK1_HUMAN.H11MO.0.A	HUMAN:FOXK1
FOXL1_HUMAN.H11MO.0.D	HUMAN:FOXL1
FOXM1_HUMAN.H11MO.0.A	HUMAN:FOXM1
FOXO1_HUMAN.H11MO.0.A	HUMAN:FOXO1
FOXO3_HUMAN.H11MO.0.B	HUMAN:FOXO3
FOXO4_HUMAN.H11MO.0.C	HUMAN:FOXO4
FOXO6_HUMAN.H11MO.0.D	HUMAN:FOXO6
FOXP1_HUMAN.H11MO.0.A	HUMAN:FOXP1
FOXP2_HUMAN.H11MO.0.C	HUMAN:FOXP2
FOXP3_HUMAN.H11MO.0.D	HUMAN:FOXP3
FOXQ1_HUMAN.H11MO.0.C	HUMAN:FOXQ1
FUBP1_HUMAN.H11MO.0.D	HUMAN:FUBP1
GABPA_HUMAN.H11MO.0.A	HUMAN:GABPA
GATA1_HUMAN.H11MO.0.A	HUMAN:GATA1
GATA1_HUMAN.H11MO.1.A	HUMAN:GATA1
GATA2_HUMAN.H11MO.0.A	HUMAN:GATA2
GATA2_HUMAN.H11MO.1.A	HUMAN:GATA2
GATA3_HUMAN.H11MO.0.A	HUMAN:GATA3
GATA4_HUMAN.H11MO.0.A	HUMAN:GATA4
GATA5_HUMAN.H11MO.0.D	HUMAN:GATA5
GATA6_HUMAN.H11MO.0.A	HUMAN:GATA6
GBX1_HUMAN.H11MO.0.D	HUMAN:GBX1
GBX2_HUMAN.H11MO.0.D	HUMAN:GBX2
GCM1_HUMAN.H11MO.0.D	HUMAN:GCM1
GCM2_HUMAN.H11MO.0.D	HUMAN:GCM2
GCR_HUMAN.H11MO.0.A	HUMAN:NR3C1
GCR_HUMAN.H11MO.1.A	HUMAN:NR3C1
GFI1B_HUMAN.H11MO.0.A	HUMAN:GFI1B
GFI1_HUMAN.H11MO.0.C	HUMAN:GFI1
GLI1_HUMAN.H11MO.0.D	HUMAN:GLI1
GLI2_HUMAN.H11MO.0.D	HUMAN:GLI2
GLI3_HUMAN.H11MO.0.B	HUMAN:GLI3
GLIS1_HUMAN.H11MO.0.D	HUMAN:GLIS1
GLIS2_HUMAN.H11MO.0.D	HUMAN:GLIS2
GLIS3_HUMAN.H11MO.0.D	HUMAN:GLIS3
GMEB2_HUMAN.H11MO.0.D	HUMAN:GMEB2
GRHL1_HUMAN.H11MO.0.D	HUMAN:GRHL1
GRHL2_HUMAN.H11MO.0.A	HUMAN:GRHL2
GSC2_HUMAN.H11MO.0.D	HUMAN:GSC2
GSC_HUMAN.H11MO.0.D	HUMAN:GSC
GSX1_HUMAN.H11MO.0.D	HUMAN:GSX1
